time_iso8601,forks_cumulative
2018-03-20 00:00:00+00:00,8
2018-03-21 00:00:00+00:00,13
2018-03-22 00:00:00+00:00,17
2018-03-24 00:00:00+00:00,18
2018-03-25 00:00:00+00:00,19
2018-03-26 00:00:00+00:00,20
2018-03-27 00:00:00+00:00,21
2018-03-28 00:00:00+00:00,24
2018-03-29 00:00:00+00:00,25
2018-03-30 00:00:00+00:00,28
2018-04-01 00:00:00+00:00,29
2018-04-02 00:00:00+00:00,34
2018-04-03 00:00:00+00:00,36
2018-04-04 00:00:00+00:00,38
2018-04-05 00:00:00+00:00,40
2018-04-06 00:00:00+00:00,41
2018-04-07 00:00:00+00:00,42
2018-04-08 00:00:00+00:00,43
2018-04-10 00:00:00+00:00,44
2018-04-11 00:00:00+00:00,45
2018-04-12 00:00:00+00:00,46
2018-04-15 00:00:00+00:00,47
2018-04-17 00:00:00+00:00,48
2018-04-27 00:00:00+00:00,50
2018-04-28 00:00:00+00:00,51
2018-04-30 00:00:00+00:00,52
2018-05-03 00:00:00+00:00,53
2018-05-05 00:00:00+00:00,54
2018-05-07 00:00:00+00:00,56
2018-05-10 00:00:00+00:00,57
2018-05-11 00:00:00+00:00,58
2018-05-14 00:00:00+00:00,59
2018-05-17 00:00:00+00:00,60
2018-05-21 00:00:00+00:00,61
2018-05-25 00:00:00+00:00,62
2018-05-29 00:00:00+00:00,64
2018-05-30 00:00:00+00:00,66
2018-05-31 00:00:00+00:00,68
2018-06-04 00:00:00+00:00,72
2018-06-05 00:00:00+00:00,77
2018-06-06 00:00:00+00:00,81
2018-06-07 00:00:00+00:00,82
2018-06-08 00:00:00+00:00,84
2018-06-10 00:00:00+00:00,85
2018-06-12 00:00:00+00:00,86
2018-06-14 00:00:00+00:00,89
2018-06-15 00:00:00+00:00,92
2018-06-19 00:00:00+00:00,93
2018-06-20 00:00:00+00:00,94
2018-06-21 00:00:00+00:00,95
2018-06-23 00:00:00+00:00,96
2018-06-24 00:00:00+00:00,98
2018-06-25 00:00:00+00:00,99
2018-06-26 00:00:00+00:00,100
2018-06-27 00:00:00+00:00,101
2018-06-29 00:00:00+00:00,102
2018-07-04 00:00:00+00:00,103
2018-07-05 00:00:00+00:00,105
2018-07-06 00:00:00+00:00,107
2018-07-08 00:00:00+00:00,110
2018-07-11 00:00:00+00:00,114
2018-07-12 00:00:00+00:00,116
2018-07-16 00:00:00+00:00,117
2018-07-17 00:00:00+00:00,118
2018-07-19 00:00:00+00:00,119
2018-07-20 00:00:00+00:00,120
2018-07-21 00:00:00+00:00,121
2018-07-22 00:00:00+00:00,122
2018-07-23 00:00:00+00:00,125
2018-07-27 00:00:00+00:00,126
2018-07-28 00:00:00+00:00,127
2018-07-30 00:00:00+00:00,128
2018-07-31 00:00:00+00:00,131
2018-08-02 00:00:00+00:00,132
2018-08-06 00:00:00+00:00,133
2018-08-07 00:00:00+00:00,134
2018-08-08 00:00:00+00:00,137
2018-08-09 00:00:00+00:00,139
2018-08-11 00:00:00+00:00,140
2018-08-12 00:00:00+00:00,141
2018-08-13 00:00:00+00:00,142
2018-08-16 00:00:00+00:00,143
2018-08-20 00:00:00+00:00,144
2018-08-21 00:00:00+00:00,148
2018-08-22 00:00:00+00:00,149
2018-08-23 00:00:00+00:00,151
2018-08-24 00:00:00+00:00,152
2018-08-29 00:00:00+00:00,154
2018-09-01 00:00:00+00:00,155
2018-09-02 00:00:00+00:00,156
2018-09-06 00:00:00+00:00,157
2018-09-07 00:00:00+00:00,158
2018-09-08 00:00:00+00:00,160
2018-09-09 00:00:00+00:00,161
2018-09-10 00:00:00+00:00,165
2018-09-11 00:00:00+00:00,166
2018-09-12 00:00:00+00:00,167
2018-09-13 00:00:00+00:00,172
2018-09-14 00:00:00+00:00,174
2018-09-16 00:00:00+00:00,175
2018-09-17 00:00:00+00:00,176
2018-09-19 00:00:00+00:00,178
2018-09-24 00:00:00+00:00,179
2018-09-26 00:00:00+00:00,182
2018-09-27 00:00:00+00:00,183
2018-09-28 00:00:00+00:00,184
2018-09-29 00:00:00+00:00,187
2018-10-04 00:00:00+00:00,188
2018-10-07 00:00:00+00:00,189
2018-10-09 00:00:00+00:00,191
2018-10-11 00:00:00+00:00,192
2018-10-19 00:00:00+00:00,194
2018-10-20 00:00:00+00:00,195
2018-10-21 00:00:00+00:00,196
2018-10-22 00:00:00+00:00,197
2018-10-24 00:00:00+00:00,198
2018-10-25 00:00:00+00:00,202
2018-10-26 00:00:00+00:00,204
2018-10-27 00:00:00+00:00,205
2018-10-29 00:00:00+00:00,207
2018-10-31 00:00:00+00:00,209
2018-11-01 00:00:00+00:00,211
2018-11-05 00:00:00+00:00,213
2018-11-08 00:00:00+00:00,216
2018-11-09 00:00:00+00:00,220
2018-11-10 00:00:00+00:00,222
2018-11-11 00:00:00+00:00,223
2018-11-12 00:00:00+00:00,228
2018-11-13 00:00:00+00:00,232
2018-11-15 00:00:00+00:00,235
2018-11-16 00:00:00+00:00,236
2018-11-17 00:00:00+00:00,237
2018-11-18 00:00:00+00:00,238
2018-11-19 00:00:00+00:00,239
2018-11-23 00:00:00+00:00,240
2018-11-25 00:00:00+00:00,241
2018-11-26 00:00:00+00:00,242
2018-11-27 00:00:00+00:00,243
2018-11-28 00:00:00+00:00,244
2018-11-29 00:00:00+00:00,245
2018-11-30 00:00:00+00:00,247
2018-12-03 00:00:00+00:00,249
2018-12-05 00:00:00+00:00,250
2018-12-07 00:00:00+00:00,252
2018-12-08 00:00:00+00:00,254
2018-12-10 00:00:00+00:00,255
2018-12-11 00:00:00+00:00,256
2018-12-12 00:00:00+00:00,258
2018-12-15 00:00:00+00:00,259
2018-12-18 00:00:00+00:00,260
2018-12-20 00:00:00+00:00,261
2018-12-21 00:00:00+00:00,262
2018-12-23 00:00:00+00:00,264
2018-12-24 00:00:00+00:00,267
2018-12-25 00:00:00+00:00,268
2018-12-28 00:00:00+00:00,269
2019-01-02 00:00:00+00:00,270
2019-01-03 00:00:00+00:00,274
2019-01-04 00:00:00+00:00,276
2019-01-09 00:00:00+00:00,277
2019-01-11 00:00:00+00:00,278
2019-01-16 00:00:00+00:00,280
2019-01-17 00:00:00+00:00,281
2019-01-19 00:00:00+00:00,283
2019-01-21 00:00:00+00:00,285
2019-01-22 00:00:00+00:00,288
2019-01-23 00:00:00+00:00,292
2019-01-25 00:00:00+00:00,293
2019-01-26 00:00:00+00:00,295
2019-01-28 00:00:00+00:00,296
2019-02-04 00:00:00+00:00,300
2019-02-06 00:00:00+00:00,301
2019-02-07 00:00:00+00:00,302
2019-02-09 00:00:00+00:00,303
2019-02-10 00:00:00+00:00,305
2019-02-14 00:00:00+00:00,307
2019-02-15 00:00:00+00:00,311
2019-02-17 00:00:00+00:00,312
2019-02-20 00:00:00+00:00,313
2019-02-21 00:00:00+00:00,315
2019-02-23 00:00:00+00:00,316
2019-02-25 00:00:00+00:00,317
2019-02-28 00:00:00+00:00,319
2019-03-04 00:00:00+00:00,323
2019-03-05 00:00:00+00:00,324
2019-03-08 00:00:00+00:00,326
2019-03-09 00:00:00+00:00,327
2019-03-10 00:00:00+00:00,328
2019-03-11 00:00:00+00:00,332
2019-03-14 00:00:00+00:00,333
2019-03-15 00:00:00+00:00,334
2019-03-18 00:00:00+00:00,335
2019-03-19 00:00:00+00:00,338
2019-03-20 00:00:00+00:00,341
2019-03-21 00:00:00+00:00,342
2019-03-22 00:00:00+00:00,343
2019-03-23 00:00:00+00:00,344
2019-03-25 00:00:00+00:00,346
2019-03-26 00:00:00+00:00,347
2019-03-27 00:00:00+00:00,352
2019-03-28 00:00:00+00:00,353
2019-03-29 00:00:00+00:00,355
2019-03-30 00:00:00+00:00,357
2019-04-04 00:00:00+00:00,358
2019-04-06 00:00:00+00:00,359
2019-04-07 00:00:00+00:00,360
2019-04-08 00:00:00+00:00,362
2019-04-11 00:00:00+00:00,363
2019-04-12 00:00:00+00:00,364
2019-04-15 00:00:00+00:00,366
2019-04-16 00:00:00+00:00,367
2019-04-18 00:00:00+00:00,368
2019-04-20 00:00:00+00:00,372
2019-04-21 00:00:00+00:00,373
2019-04-22 00:00:00+00:00,376
2019-04-23 00:00:00+00:00,378
2019-04-24 00:00:00+00:00,381
2019-04-25 00:00:00+00:00,382
2019-04-29 00:00:00+00:00,385
2019-05-01 00:00:00+00:00,386
2019-05-02 00:00:00+00:00,387
2019-05-06 00:00:00+00:00,390
2019-05-07 00:00:00+00:00,393
2019-05-09 00:00:00+00:00,394
2019-05-10 00:00:00+00:00,395
2019-05-11 00:00:00+00:00,397
2019-05-12 00:00:00+00:00,398
2019-05-13 00:00:00+00:00,399
2019-05-14 00:00:00+00:00,401
2019-05-15 00:00:00+00:00,403
2019-05-17 00:00:00+00:00,405
2019-05-21 00:00:00+00:00,406
