time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-27 00:00:00+00:00,0,0,20,6
2022-12-28 00:00:00+00:00,26,25,1731,272
2022-12-29 00:00:00+00:00,18,18,1666,283
2022-12-30 00:00:00+00:00,12,12,1634,218
2022-12-31 00:00:00+00:00,17,15,1176,172
2023-01-01 00:00:00+00:00,9,9,1270,175
2023-01-02 00:00:00+00:00,10,9,1277,220
2023-01-03 00:00:00+00:00,31,26,2039,318
2023-01-04 00:00:00+00:00,31,22,2144,289
2023-01-05 00:00:00+00:00,26,23,2067,324
2023-01-06 00:00:00+00:00,19,17,1781,302
2023-01-07 00:00:00+00:00,13,9,1639,211
2023-01-08 00:00:00+00:00,11,10,1282,180
2023-01-09 00:00:00+00:00,39,26,1791,331
2023-01-10 00:00:00+00:00,24,23,1828,323
2023-01-11 00:00:00+00:00,38,31,1788,337
2023-01-12 00:00:00+00:00,27,24,1741,292
2023-01-13 00:00:00+00:00,17,17,1621,289
2023-01-14 00:00:00+00:00,14,13,1504,230
2023-01-15 00:00:00+00:00,11,11,1159,246
2023-01-16 00:00:00+00:00,22,22,1810,363
2023-01-17 00:00:00+00:00,31,27,1889,372
2023-01-18 00:00:00+00:00,27,26,1998,380
2023-01-19 00:00:00+00:00,17,16,1911,301
2023-01-20 00:00:00+00:00,20,17,1663,306
2023-01-21 00:00:00+00:00,13,12,1463,208
2023-01-22 00:00:00+00:00,13,11,1195,208
2023-01-23 00:00:00+00:00,25,20,1498,295
2023-01-24 00:00:00+00:00,15,12,1428,295
2023-01-25 00:00:00+00:00,16,12,1577,270
2023-01-26 00:00:00+00:00,26,18,1698,305
2023-01-27 00:00:00+00:00,27,22,1805,288
2023-01-28 00:00:00+00:00,24,20,1588,270
2023-01-29 00:00:00+00:00,30,27,2076,297
2023-01-30 00:00:00+00:00,42,34,1909,351
2023-01-31 00:00:00+00:00,47,33,2035,394
2023-02-01 00:00:00+00:00,46,36,2372,417
2023-02-02 00:00:00+00:00,28,24,1659,346
2023-02-03 00:00:00+00:00,27,27,2007,364
2023-02-04 00:00:00+00:00,21,15,1814,461
2023-02-05 00:00:00+00:00,29,21,1253,305
2023-02-06 00:00:00+00:00,35,27,1844,415
2023-02-07 00:00:00+00:00,48,31,1837,393
2023-02-08 00:00:00+00:00,19,19,1774,383
2023-02-09 00:00:00+00:00,34,27,1836,364
2023-02-10 00:00:00+00:00,50,37,1715,350
2023-02-11 00:00:00+00:00,20,14,1219,232
2023-02-12 00:00:00+00:00,16,15,1391,232
2023-02-13 00:00:00+00:00,27,24,1955,389
2023-02-14 00:00:00+00:00,32,24,1674,344
2023-02-15 00:00:00+00:00,37,28,2275,385
2023-02-16 00:00:00+00:00,23,22,2173,371
2023-02-17 00:00:00+00:00,25,21,1600,367
2023-02-18 00:00:00+00:00,21,18,1425,249
2023-02-19 00:00:00+00:00,26,22,1692,249
2023-02-20 00:00:00+00:00,27,18,2339,386
2023-02-21 00:00:00+00:00,32,26,1833,380
2023-02-22 00:00:00+00:00,28,17,2251,397
2023-02-23 00:00:00+00:00,31,26,2347,405
2023-02-24 00:00:00+00:00,32,30,2161,424
2023-02-25 00:00:00+00:00,16,16,1415,265
